,Year,Sport,Sex,avg_age,avg_height,avg_weight
314,1988,Hockey,F,26.0,165.0,60.0
315,1988,Judo,M,27.0,178.0,80.0
316,1988,Modern Pentathlon,M,31.0,183.0,73.0
317,1988,Rhythmic Gymnastics,F,20.0,166.0,48.0
318,1988,Rowing,F,26.0,175.0,68.0
319,1988,Rowing,M,27.0,190.0,86.0
320,1988,Sailing,F,30.0,170.0,64.0
321,1988,Sailing,M,26.0,181.0,81.0
322,1988,Shooting,F,33.0,167.0,61.0
323,1988,Shooting,M,33.0,178.0,80.0
324,1988,Swimming,F,20.0,175.0,63.0
325,1988,Swimming,M,21.0,188.0,82.0
326,1988,Synchronized Swimming,F,24.0,162.0,55.0
327,1988,Table Tennis,F,28.0,164.0,50.0
328,1988,Table Tennis,M,21.0,183.0,75.0
329,1988,Tennis,F,27.0,171.0,63.0
330,1988,Tennis,M,26.0,188.0,80.0
331,1988,Volleyball,F,25.0,180.0,68.0
332,1988,Volleyball,M,26.0,193.0,88.0
333,1988,Water Polo,M,27.0,190.0,91.0
334,1988,Weightlifting,M,26.0,177.0,101.0
335,1988,Wrestling,M,26.0,172.0,77.0
336,1992,Archery,F,19.0,167.0,68.0
337,1992,Archery,M,35.0,181.0,76.0
338,1992,Athletics,F,27.0,170.0,59.0
339,1992,Athletics,M,27.0,184.0,81.0
340,1992,Badminton,F,28.0,166.0,57.0
341,1992,Badminton,M,26.0,176.0,72.0
342,1992,Baseball,M,21.0,187.0,88.0
343,1992,Basketball,F,26.0,182.0,67.0
344,1992,Basketball,M,29.0,203.0,102.0
345,1992,Boxing,M,22.0,176.0,66.0
346,1992,Canoeing,F,30.0,169.0,64.0
347,1992,Canoeing,M,28.0,180.0,78.0
348,1992,Cycling,F,29.0,169.0,58.0
349,1992,Cycling,M,24.0,181.0,76.0
350,1992,Diving,F,27.0,159.0,53.0
351,1992,Diving,M,26.0,175.0,72.0
352,1992,Equestrianism,F,35.0,170.0,60.0
353,1992,Equestrianism,M,39.0,176.0,74.0
354,1992,Fencing,F,26.0,173.0,63.0
355,1992,Fencing,M,29.0,182.0,74.0
356,1992,Football,M,21.0,179.0,76.0
357,1992,Gymnastics,F,16.0,150.0,42.0
358,1992,Gymnastics,M,22.0,167.0,65.0
359,1992,Handball,F,28.0,173.0,66.0
360,1992,Judo,F,27.0,165.0,68.0
361,1992,Judo,M,27.0,177.0,79.0
362,1992,Modern Pentathlon,M,28.0,178.0,70.0
363,1992,Rhythmic Gymnastics,F,16.0,164.0,44.0
364,1992,Rowing,F,27.0,178.0,70.0
365,1992,Rowing,M,26.0,190.0,89.0
366,1992,Sailing,F,26.0,171.0,60.0
367,1992,Sailing,M,31.0,183.0,81.0
368,1992,Shooting,F,32.0,163.0,59.0
369,1992,Shooting,M,33.0,179.0,79.0
370,1992,Swimming,F,20.0,172.0,61.0
371,1992,Swimming,M,23.0,189.0,82.0
372,1992,Synchronized Swimming,F,27.0,165.0,56.0
373,1992,Table Tennis,F,28.0,164.0,52.0
374,1992,Table Tennis,M,22.0,188.0,76.0
